,IC,MSE,MAE
AR(1),0.2349618825576689,0.0005346279358491302,0.016172466799616814
Lag1_Baseline,0.23496188227850495,0.0008379925275221467,0.02064027264714241
Ensemble_All_Tree,0.055241999467423704,0.0005469798857898374,0.016059872553272257
Stacking,0.05397611195200625,0.000546656387089992,0.016049718247104477
Ensemble_LGB_XGB,0.053941944927167335,0.0005476709498440318,0.01606968260638483
LightGBM,0.053869799666408216,0.0005476119605692637,0.016071202008770883
CatBoost,0.05242582826346007,0.0005471515113491354,0.016070308523468455
XGBoost,0.05166723137677324,0.0005483172135427594,0.01607678085565567
RandomForest,0.05038712278086691,0.0005474297552786403,0.016062471403962827
AE_LightGBM,0.029026315207638917,0.0005488135406832371,0.01606946199604941
Ridge,0.022687995795480847,0.0005497248494066298,0.01609189808368683
Transformer,0.01343129858384555,0.0006640633218921721,0.018343565985560417
ElasticNet,0.009469557665850089,0.000548221985809505,0.01607905887067318
Lasso,0.009467551662793868,0.0005482225096784532,0.016079073771834373
SVR,-0.006175569973788887,0.0005768907109801712,0.016703588795224957
LSTM,-0.009069413579505187,0.0006335244979709387,0.01784588024020195
SimpleRNN,-0.00980677941079651,0.0006227093399502337,0.01781371235847473
